code,county,area,date,time,places,file
,EMBU,"EMBU COLLEGE, KANJURU EST, KENSTAR H /WARE, IRANGI",Tuesday 28.01.2025,9.00 A.M. – 4.00 P.M.,"['Part of Embu Town', 'Moffas Building', 'Embu  College', 'Dallas  Est', 'Dallas Shopping', 'Centre', 'Kanjuru Est', 'Kenster Hardware', 'Irangi Food Processing', 'Ngariama', 'Mini', 'Inn', 'Tangier', 'Embu PGH', 'Embu Urban Pri Sch', 'Part of Shauri Mkt', 'County', 'Government Offices  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KIAMBU,"MATARA, KANYONI, GAKUNYI, GITUAMBA",Monday 2 7.01.2025,9.00 A.M. - 5.00 P.M.,"['Kiriko Mission', 'Matara T /Factory', 'Gachege T /Factory', 'Ndarugu T /Factory', 'Matara Dispensary', 'Kanyoni Mkt', 'Gicheha Mkt', 'Thuraku Village', 'Karatu Mkt', 'Karinga Girls', 'Gitwe Mkt', 'Gikure Mkt', 'Ituramiru Mkt', 'Gakunyi', 'Gituamba Mkt  &', 'adjacent  customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KIAMBU,"KIGANJO RD, MOTOMO",Tuesday 28.01. 2025,9.00 A.M. - 5.00 P.M.,"['Banana Mkt', 'Karuri Mkt', 'Karuri Hosp', 'Karuri Police', 'Muthurwa Sch', 'Homex', 'Ndenderu Mkt', 'Part of Gacharage', 'Rueno Police', 'Dispensary', 'Mother Mercy', 'Church', 'Safaricom  Data  Center  & adjacent customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KIAMBU,"THINDIGUA, RUNDA",Thursday 30.01. 2025,9.00 A.M. - 5.00 P.M.,"['Thindigua', 'St Marys Runda', 'Paradise', 'Elysian Hotel  & adjacent customers .', 'COAST REGION']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,MOMBASA,TUDOR,Tuesday 28.01. 2025,9.00 A.M. - 5.00 P.M.,"['Technical University of Mombasa', 'Tudor Sub County Hosp', 'Tudor Nora', 'Rasini', 'Rd', 'Tudor Kwa Mchele', 'Tudor Kiziwi', 'St Joseph Catholic', 'Tudor Mwisho', 'Kaa', 'Chonjo', 'Nyumba Ya Wazee', 'Kwa Amo Biriyani', 'Tudor Water Sports  & adjacent', 'customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,MOMBASA,"VIKAWATANI , PARTS OF MTOPANGA",Thursday 30.01. 2025,9.00 A.M. - 5.00 P.M.,"['Coast General', 'Mtop anga Catholic', 'Mtopanga Est', 'Camp David', 'Kwa', 'Sonko /Mtopanga Post', 'Masjid Arafat /Anwar Ali', 'KCB', 'Beyond Scope', 'Bakarani', 'Stage', 'Katisha', 'Concordia Pri', 'Masjid Sakina', 'Kajiweni  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KILIFI,GONGONI SALT WORK  MALINDI,Wednesday 29 .01.2025,9.00 A.M. – 5.00 P.M.,"['Krystal Line Salts Gongoni', 'Malindi Salts Works', 'Kensalts Gongoni', 'Gongoni', 'Mkt', 'Kakuyuni  Mkt', 'Savanna Residence', 'Sabaki  area', 'Mijikenda Residence', 'KBC', 'Marekebuni', 'Marafa  Mkt', 'Garashi Dispensary', 'Wakala Mkt', 'Adu Kamale', 'San Marico Ngomeni  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KILIFI,RABAI,Thursday 30.01.2025,9.00 A.M. – 5.00 P.M.,"['PVC Africa', 'Salima Gases', 'Mwele', 'Kombeni', 'Mwawesa', 'Rabai Mining', 'Chonyi', 'Pri', 'Changombe', 'Chiveri Pry', 'Mkapuni', 'Batani', 'Kasidi', 'Mwanjama', 'Kawala Pri', 'Makanzani', 'Kwa Juaje', 'Mikahani', 'Makobeni', 'Kambe', 'Ziro Pr i', 'Pangani', 'Tsagwa', 'Jibana Health', 'Mbuyuni', 'Chije Pri', 'Jeuri Pri & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KILIFI,PARTS OF KIKAMBALA,Friday 31.01.2025,9.00 A.M. – 5.00 P.M.,"['Mudzini Sch', 'Bodoi Stage', 'Bodoi Kwa Ng’ombe', 'Bodoi Pri', 'Salwa Kenya', 'Bodoi', 'Village', 'Sun N Sand Beach Htl', 'Fairdeal Park', 'Kikambala Catholic', 'Swati', 'Investments', 'Umbrella Steel', 'Blue Sky', 'Kilifi Pearl', 'Kirkland', 'Miembe Saba  &', 'adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KWALE,GALU KININDO,Tuesday 28.01. 2025,9.00 A.M. - 5.00 P.M.,"['Lantana Galu', 'Lala Galu', 'Diani Beach Park', 'Pinewood', 'Koromandale', 'Sonrisa', 'Chale  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KWALE,SHAMU AND ENVIRONS,Wednesday 29 .01.2025,9.00 A.M. – 5.00 P.M.,"['Kentaste', 'Shamu', 'Kona Musa', 'Babla', 'Mwapala', 'Maasai Corner & adjacent', 'customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,KWALE,PARTS OF DIANI BEACH ROAD,Thursday 30.01.2025,9.00 A.M. – 5.00 P.M.,"['Carrefour', 'Swahili Beach', 'Kaskazi Beach', 'Diani Shopping Centre', 'Chandarana', '& adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAIROBI,PART OF KITSURU,Monday 18.08.2025,7.00 A.M. – 5.00 P.M.,"['Kinanda Rd', 'ISK', 'Kirawa Rd', 'Manga Garden', 'Kitsuru Forward', 'Tate Close', 'Serenity', 'Spa', 'Mitini Est', 'Ngecha Est', 'Lake View Est & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAIROBI,PART OF LORESHO,Tuesday 19.08.2025,7.00 A.M. – 5.00 P.M.,"['Lower Kabete Rd up to Hillview Est', 'Loresho Ridge', 'Shanzu Rd', 'Nairobi Sch', 'Kibagare Way', 'Kyuna Rd & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAIROBI,GITHURAI,Tuesday 19.08.2025,9.00 A.M. – 5.00 P.M.,"['Githurai 44 around Sonic', 'Zimmerman around Roysambu Pri Sch', 'Jacaranda', 'Gardens & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAIROBI,KIAMUMBI,Wednesday 20.08.2025,9.00 A.M. – 5.00 P.M.,['Whole of Kiamumbi & adjacent customers.'],01K2P78RAN74262NZS75AAQSVC.pdf
,NAIROBI,"MUTHAIGA, PART OF PARKLANDS",Wednesday 20.08.2025,7.00 A.M. – 5.00 P.M.,"['Muthaiga', '6th Parklands', 'Legal Plaza', 'Mobil Plaza', 'Mwambao Rd', 'Part of Limuru', 'Rd', 'Getrude Hosp & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAIROBI,PART OF WESTLANDS,Thursday 21.08.2025,7.00 A.M. – 5.00 P.M.,"['General Mathenge', 'Peponi Rd', 'Peponi Gardens', 'Spring Valley Rd', 'Peponi Cliff', 'Donyo Sabuk', 'Pine Wood Apts', 'Part of Eldama Ravin Rd & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAIROBI,PART OF LOWER KABETE,Friday 22.08.2025,7.00 A.M. – 5.00 P.M.,"['Lower Kabete Campus', 'Lower Kabete Pri', 'Farasi Pri', 'Peponi Sch', 'Farasi Crescent', 'Lower Kabete Rd', 'New Kitsuru', 'Kitsuru Springs', 'Mwimuto Mkt', 'Gituamba &', 'adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAIROBI,PART OF KITSURU,Saturday 23.08.2025,7.00 A.M. – 5.00 P.M.,"['Thingiri', 'Nyari South', 'Kitsuru Rd', 'Spring Valley Rd', 'Bendera Lane', 'Parts of Gachie', '& adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MAKUENI,"SULTAN, KASIKEU",Tuesday 19.08.2025,9.00 A.M. – 5.00 P.M.,"['Sultan Hamud Town', 'Sultan Sub -County Hosp', 'Major Muiu Quarry', 'Kavuthu Mkt', 'Kasikeu Mkt', 'Barazani Mkt', 'Nduluni Mkt & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MACHAKOS,KANGUNDO ROAD FROM JOSKA TO NGULUNI,Sunday 17.0 8.2025,7.00 A.M. – 5.00 P.M.,"['Whole of Joska', 'Mutalia', 'Kware', 'Malaa', 'Kantafu', 'KBC', 'Koma', 'Sunshine', 'Kinanie', 'Leather Industries', 'Bridgan', 'Ngalaya', 'Kwa Makau', 'Quick Mart Joska', 'Kaseveni', 'Itere Rd', 'Nimrod', 'Nguluni', 'All Quarries & Crushers at Mussini & adjacent', 'customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MACHAKOS,TALA,Sunday 17.0 8.2025,7.00 A.M. – 5.00 P.M.,"['Whole of Tala', 'East Mart Tala', 'Tala Mkt', 'Kyamulendu', 'Katine', 'Kisukioni', 'Tala', 'Ridge', 'Tala Boys', 'Kwa Mutula', 'Sengani', 'Kinyui', 'Kyanzavi', 'Matuu Ma Mwitu', 'Katulye', 'Kyumbuni', 'Ngalalya Mkt', 'Wendano', 'Kathithyama', 'Katwanya & adjacent', 'customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MACHAKOS,KANGUNDO,Sunday 17.0 8.2025,7.00 A.M. – 5.00 P.M.,"['Whole of Kangundo', 'Kangundo Hosp', 'Kakuyuni', 'Santhi', 'Mukukuni', 'Kasyulya', 'Ngove', 'Kawethei', 'Mbusyani', 'Kyavaluki', 'Kikomba Mkt', 'Mukuyni', 'Kivaani Mkt', 'Kithuiani Mkt', 'Kambusu', 'Kikambuani & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAKURU,PARTS OF NAIVASHA,Sunday 17.08.2025,9.00 A.M. - 4.00 P.M.,"['Fai Amarillo', 'Lower & Upper Kayole', 'Laini', 'Nyamathi', 'Kinungi', 'Roka Industries', 'Keroche Brewery', 'Kinamba', 'Maraigushu', 'Nyondia', 'Karate', 'Gatamaiyu', 'Livewire', 'NYS', 'DCK', 'Fish Eagle Inns', 'Oserian', 'Nyakinyua Farm', 'Kongoni', 'Sulmac', 'Goldsmith', 'Maela', 'Home Grown', 'VE GPRO', 'Naivasha County Club', 'Ndabibi', 'Kamuta Farm', 'Biojule & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAROK,"PARTS OF DUKAMOJA, SUSWA",Wednesday  20.08.2025,9.00 A.M. - 5.00 P.M.,"['Naerenkiangare Mkt', 'Tikako Mkt', 'Lelongo', 'Dukamoja  Mkt', 'Suswa Mkt', 'Olasit', 'Iseneto', 'Nkorionito', 'Narasha', 'Suswa S/S & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KERICHO,NGOINAROAD MARKET,Monday 18.08.2025,9.00 A.M. - 5.00 P.M.,"['Ngoinaroad Mkt', 'Tulwet Boys Sec', 'Mosore Center', 'Roret Boys', 'Reresik Centre', 'Part of Roret Mkt', 'Mabasi Centre', 'Bakitira Pri', 'Monoru & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,BUSIA,"BUSIA TOWN, MALABA",Tuesday 19.08.2025,9.00 A.M. – 5.00 P.M.,"['Amairo', 'KPLC Offices', 'Okimaru', 'Malaba Mkt', 'Adongosi', 'Lugoris', 'Tesia Bakery', 'Busia Prisons', 'Khetias S/Mkt', 'Halupe Univ & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KAKAMEGA,MUSOLI,Tuesday 19.08.2025,9.00 A.M. – 5.00 P.M.,"['Shirere Mkt', 'Ilesi', 'Muraka', 'Mukumu Mission', 'Malaika Children Home', 'Shabane', 'Shitoli Water', 'Sigalagala Polytechnic', 'Musingu High', 'Malinya', 'Shibwe', 'Imbale', 'Bushianga', 'Akatsa & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KAKAMEGA,"BUMBE, SIGALAME",Friday 22.08.2025,9.00 A.M. – 5.00 P.M.,"['Iguhu Hosp', 'Shisesia Village', 'Makhokho', 'Shirere', 'Iguyo', 'Khayega Playing Ground', '& adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KISUMU,SONDU,Thursday 21.08.2025,8.30 A.M. – 5.00 P.M.,"['Kandaria', 'Ingutsi Pri', 'Ingutsi Centre', 'Ngege Pri', 'Maraboi Water', 'Chabera &', 'adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KISII,PARTS OF KISII COUNTY,Monday 18.08.2025,9.00 A.M. – 5.00 P.M.,"['Gesonso Mkt', 'Gesonso Police Stn', 'Riamasagra', 'Iterio Complex', 'Suneka Mkt', 'Itibo', 'Hotel', 'Ekerorano', 'Riana', 'Riamotinga', 'Nyamira Ndogo', 'Nyangoge Girls', 'Itibo Mkt', 'Igonga High Sch', 'Water Park Hotel', 'Gesero', 'Mogumo', 'Raganga Catholic', 'Nyabururu Complex', 'Nyamataro', 'Ajiwa Quarry', 'Nyando', 'Ruga Quarry', 'Sombogo', 'T/Fact', 'Rioma Police', 'Gesabakwa Nyamatuta', 'Geteri Nyakoe', 'Cardinal Otunga', 'Mosocho', 'Ruga', 'Matieko', 'Egesa', 'Nyatieko', 'Kegogi', 'Manga Isecha', 'Jogoo Mkt', 'Kisii', 'Polytechnic', 'Gewasco Treatment Plant Bobaracho', 'Kisii Uni v', 'Mwembe', 'Otamba', 'Mkt', 'Christamarian Hosp', 'Nyanchwa Ekerore', 'Ogembo Mkt', 'Nyamburumbasi', 'Ikoba', 'Riosiri Mkt', 'Tabaka Hosp', 'Nduru Hosp', 'Nyabigena Boys', 'Gianchere Sec', 'Sch', 'Birongo', 'Nyasira', 'Nyankoba T/Fact', 'Ekemuga Sec', 'Nyamasibi Sec', 'Nyaturago', 'Sec', 'Nyamogesa Sec', 'Masimba Mkt', 'Gulf Petrol Stn', 'Keumbu Mkt', 'Riondonga Mkt', 'Nyabisabo Mkt', 'Kiamokama Mkt', 'Ibacho', 'Gesusu', 'Nyacheki', 'Ramasha', 'Nyamache', 'T/Fact', 'Igare', 'Nyamagwa Complex & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MIGORI,"AYEGO, THIM LICH",Tuesday 19.08 .2025,9.00 A.M. – 5.00 P.M.,"['Ayego', 'Chunge', 'Koduogo', 'Oria Mkt', 'Nyambeche', 'Thim Lich', 'Nyaroya', 'Kambuji', 'Center & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MIGORI,"RAGUDA, WACHARA",Wednesday 20.08 .2025,9.00 A.M. – 5.00 P.M.,"['Raguda Mkt', 'Raguda SDA', 'Wachara Sch', 'Wachara Mkt', 'Wang’aya Mkt', 'Village  &', 'adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KIRINYAGA,"RAGUDA, WACHARA",Tuesday 19.08.2025,9.00 A.M. – 5.00 P.M.,"['Part of Manjengo', 'Part of PIAI', 'Estana Hotel', 'PK Njuguna', 'Rogoi Mkt & ACK', 'Mugamba Ciura', 'Murinduko Village & Sec Sch', 'Togonye Mkt', 'St. Susan', 'Kariati', 'Kadawa', 'Gold', 'Mumbu Mkt', 'Itangi', 'South Ngariama', 'Ikurungu Mkt', 'Ikurungu Hosp', 'Morgan', 'Skai Sana', 'Gathigi ini Pri & adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under Rule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01K2P78RAN74262NZS75AAQSVC.pdf
,KIRINYAGA,"RAGUDA, WACHARA",Friday 22. 08.2025,9.00 A.M – 5.00 P.M.,"['Mwea Mosque', 'Karira Hosp', 'Ndorome', 'Nguka', 'Gatitika', 'Maruraa', 'Marurab', 'Kasarani', 'Kangiciri & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NYERI,"MUTHUAINI, GITERO, KARIA",Monday 18.08.2025,8.00 A.M. – 5.00 P.M.,"['Kwa Tailor', 'Waheire', 'Karia', 'Gitero', 'Muthuaini', 'Kagwathi', 'Tetu TVC', 'Muthuaini', 'C/Fact', 'Kiandere Mkt & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NYERI,KIAMARIGA MARKET,Wednesday 20.08.2025,9.00 A.M. – 5.00 P.M.,"['Kiamariga Mkt', 'Kiamariga Police Stn', 'Kiamariga Sec Sch', 'Kiamariga H/Center', 'Kiamariga Village', 'Safaricom Boosters', 'Airtel Boosters & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NYERI,"ENDARASHA MARKET, CHARITY MARKET",Wednesday 20.08.2025,8.00 A.M. – 5.00 P.M.,"['Endarasha Mkt', 'Pura', 'Endarasha Sec Sch', 'Watuka Mkt', 'Wandare Mkt', 'Embaringo', 'Mkt', 'Watuka Village', 'Kimunyuru Mkt & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,NYERI,GITHAKWA SECONDARY & MARKET,Friday  22.08.2025,8.00 A.M. – 5.00 P.M.,"['Githakwa Mkt', 'Githakwa Sec Sch', 'Ihari Mkt', 'Ihari Safaricom Booster', 'Githakwa', 'Chief’s Camp', 'Kabanya Clinic & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,THARAKA NITHI,"IGAMBANGOMBE, NTUMBARA",Thursday 21.08.2025,8.30 A.M. – 5.00 P.M.,"['Kamatanka Mkt', 'Mpangua Village', 'Igambangombe', 'Kamaindi Mkt & adjacent', 'customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,LAIKIPIA,"BURGURET, GUARA",Monday 18.08.2025,9.00 A.M. – 12.00 P.M.,"['Nanyuki Airstrip', 'Anka Resort', 'Tambuzi Farm', 'Trout Tree Hotel', 'Aberdare Prestige', 'Cottages', 'Tropical Timber & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MURANGA,GATANGA,Thursday 21.08.2025,9.00 A.M. – 5.00 P.M.,"['Githingiri Est', 'Thika Green Est', 'Mugumo', 'Farm Mugumo Police', 'Carton', 'Manufacturer', 'Bahati Farm', 'Jowaki Est', 'KARI Thika Memorial Hosp & adjacent', 'customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
