county,area,date,time,places,file,code,old_date,clean_date,time_clean,start_str,end_str,start_dt,end_dt,duration_hours,day_of_week
machakos,"KATANI, SYOKIMAU",2025-09-24,9.00 A.M. – 5.00 P.M.,"['Blowplast', 'Dam Est', 'Kuchi Rd', 'Greatwall Apts  & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,016,Wednesday 24.09.2025,Wednesday 24.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
kericho,KAPSOIT,2025-09-21,9.00 A.M. – 5.00 P.M.,"['Kapsoit Mkt', 'Kipchimchim S/Mkt', 'Rubis', 'Telanet Scs & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,035,Sunday 21.09.2025,Sunday 21.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Sunday
kericho,LONDIAN,2025-09-22,9.00 A.M. – 4.00 P.M.,"['Londian Township', 'Barotion', 'Nukiat', 'Kipsirichet', 'Tuiyobei Mkt', 'Londian Sub District', 'Hosp', 'Black Tulips Farm Cheres', 'Kapkondoo', 'Jagor & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,035,Monday 22.09.2025,Monday 22.09.2025,9.00 AM- 4.00 PM,09:00 AM,04:00 PM,1900-01-01 09:00:00,1900-01-01 16:00:00,7.0,Monday
bomet,"KOIWA MARKET, SOTIT MARKET",2025-09-22,9.00 A.M. – 4.00 P.M.,"['Rorok T/Fact', 'Kobel T/Fact', 'Siomo EPZ T/Fact', 'Whole of Cheptalal', 'Taboino', 'Kitala', 'Kimarwandi', 'Embomos', 'Bosto', 'Satiet', 'Kaptebengwet', 'Kiptenden & adjacent', 'customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,036,Monday 22.09.2025,Monday 22.09.2025,9.00 AM- 4.00 PM,09:00 AM,04:00 PM,1900-01-01 09:00:00,1900-01-01 16:00:00,7.0,Monday
nakuru,GILGIL,2025-09-25,9.00 A.M. – 4.00 P.M.,"['Whole of Gilgil Town', 'Ndume Ltd', 'Culsons Ltd', 'Pembroke  Sch', 'Langalanga', 'Malewa', 'NYS', 'Kenyatta Barracks', '2KA', 'Garison Sch', 'Koilel  Sec Sch', 'Milimani', 'Ngomongo', 'Utumishi Sch', 'ASTU', 'Gitare', 'Mawingu', 'Gatarwa', 'Diatomite Ltd', 'Epashikino Hotel', 'Pelican', 'Karura', 'He aven’s Gate', 'St. Marys Hosp', 'St. Joseph', 'Hosp', 'Serena Hotel', 'Soysambu', 'Kasambara', 'Lemon Valley', 'Echireria & adjacent', 'customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,032,Thursday 25.09.2025,Thursday 25.09.2025,9.00 AM- 4.00 PM,09:00 AM,04:00 PM,1900-01-01 09:00:00,1900-01-01 16:00:00,7.0,Thursday
uasin gishu,"LORWA VILLAGE, KIPSANGUI",2025-09-23,10.00 A.M. – 3.00 P.M.,"['Lorwa Village', 'Kamoiywa', 'Kipsangui & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,027,Tuesday 23.09.2025,Tuesday 23.09.2025,10.00 AM- 3.00 PM,10:00 AM,03:00 PM,1900-01-01 10:00:00,1900-01-01 15:00:00,5.0,Tuesday
nandi,ARWOS,2025-09-21,9.00 A.M. – 5.00 P.M.,['Arwos & adjacent customers.'],01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,029,Sunday 21.09.2025,Sunday 21.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Sunday
nandi,EMROK TEA FACTORY,2025-09-22,10.00 A.M. – 3.00 P.M.,"['Emrok T/Fact', 'Himaki', 'Lelwak', 'Kogamei & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,029,Monday 22.09.2025,Monday 22.09.2025,10.00 AM- 3.00 PM,10:00 AM,03:00 PM,1900-01-01 10:00:00,1900-01-01 15:00:00,5.0,Monday
kisumu,APONDO KASARE,2025-09-26,9.00 A.M. – 4.00 P.M.,"['Apondo Kasare', 'Thur Dibuoro', 'Nyakwere', 'Kongowo', 'KEMFRI', 'Sango Rota', 'Sangoro', 'Nyawalo & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,042,Friday 26.09.2025,Friday 26.09.2025,9.00 AM- 4.00 PM,09:00 AM,04:00 PM,1900-01-01 09:00:00,1900-01-01 16:00:00,7.0,Friday
vihiga,CHAMAKANGA SECONDARY SCHOOL,2025-09-26,9.00 A.M. – 5.00 P.M.,"['Chamakanga Sec Sch', 'Mululu', 'Lunza', 'Chekombero', 'Kwa Shem', 'Sabatia Eye', 'Hosp', 'Vokoli', 'Mudungu', 'Bugina', 'Wangulu', 'Wandega', 'Chatamilu', 'Gavudianyi', 'Gavudia', 'Nabwani & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,038,Friday 26.09.2025,Friday 26.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Friday
kakamega,"MATETE, MBANDE",2025-09-22,8.30 A.M. – 5.00 P.M.,"['Matete', 'Mbande', 'Matsakha', 'Chebwai', 'Lueshe', 'Butali Sugar', 'Shivanga', 'Tombo', 'Butali Mkt', 'Namanja', 'Namagara', 'Cereal Board & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,037,Monday 22.09.2025,Monday 22.09.2025,8.30 AM- 5.00 PM,08:30 AM,05:00 PM,1900-01-01 08:30:00,1900-01-01 17:00:00,8.5,Monday
kakamega,KAMBI MWANZA,2025-09-25,8.30 A.M. – 5.00 P.M.,"['Kambi Mwanza', 'KWS', 'Ivakale', 'Ileho', 'Shamberere', 'West Kenya Sugar', 'Ingavira', 'Mahira', 'Shianda', 'Matende & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,037,Thursday 25.09.2025,Thursday 25.09.2025,8.30 AM- 5.00 PM,08:30 AM,05:00 PM,1900-01-01 08:30:00,1900-01-01 17:00:00,8.5,Thursday
kisii,PART OF KISII TOWN,2025-09-21,9.00 A.M. - 5.00 P.M.,"['Diplozz Hotel', 'Ram Hosp', 'Kisii Law Courts', 'Kisii Central Police', 'Co -op Bank', 'Huduma Center', 'Rubis', 'Scooby', 'Ufanisi Hotel', 'Sansora Building', 'Nyankongo Pri', 'KCB Bank', 'Shivling S/Mkt', 'Central Bank & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,045,Sunday 21.09.2025,Sunday 21.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Sunday
kisii,PART OF KISII TOWN,2025-09-24,9.00 A.M. - 5.00 P.M.,"['Botori SDA', 'Daraja Mbili Mkt', 'Nyanchwa Police Stn', 'Ekerore', 'Christamarian', 'State', 'Lodge', 'Nyanchwa Boys & Girls & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,045,Wednesday 24.09.2025,Wednesday 24.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
kisii,"ETAGO, NYANGWETA, EKONA",2025-09-24,9.00 A.M. - 5.00 P.M.,"['Etago', 'Ekona', 'Parts of Kenyenya', 'Ekona', 'Mogenga', 'Moticho', 'Gesabakwa', 'Nyabera', 'Nyangweta & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,045,Wednesday 24.09.2025,Wednesday 24.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
nyamira,NYABIKOMU,2025-09-25,9.00 A.M. - 5.00 P.M.,"['Iteresi', 'Nyabikomu', 'Engentubi', 'Engeta', 'Kwabincha & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,046,Thursday 25.09.2025,Thursday 25.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
homa bay,"RODI, MARRAM, MARINDI",2025-09-23,9.00 A.M. - 5.00 P.M.,"['Wiobiero', 'Rodi', 'Marram Mkt', 'Aluor Mkt', 'Marindi Mkt', 'Kuja & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,043,Tuesday 23.09.2025,Tuesday 23.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
